ID,월,일,측정 시간대,섭씨 온도(°⁣C),절대 온도(K),이슬점 온도(°C),상대 습도 (%),대기압(mbar),포화 증기압(mbar),실제 증기압(mbar),증기압 부족량(mbar),수증기 함량 (g/kg),공기 밀도 (g/m**3),풍향 (deg),풍속 (m/s)
TRAIN_00056,8,19,저녁,24.86,299.39,12.76,46.93,984.09,31.46,14.77,16.7,9.39,1143.79,225.1,1.61
TRAIN_00057,6,3,저녁,15.93,290.3,14.65,92.1,985.45,18.13,16.7,1.43,10.61,1179.88,334.9,0.48
TRAIN_00058,6,2,오전,15.42,289.87,14.62,95.0,984.54,17.55,16.67,0.88,10.6,1180.88,228.5,1.38
TRAIN_00059,7,17,저녁,22.0,295.79,16.01,68.82,992.63,26.48,18.22,8.26,11.5,1163.41,253.7,2.16
TRAIN_00060,5,10,저녁,16.27,290.75,8.57,60.27,984.22,18.53,11.17,7.36,7.09,1179.54,192.7,1.42
TRAIN_00061,1,3,새벽,-1.96,272.13,-3.48,89.3,988.14,5.29,4.72,0.57,2.98,1266.99,32.5,1.38
TRAIN_00062,10,16,저녁,7.67,281.08,6.98,95.4,996.95,10.5,10.02,0.48,6.27,1231.99,147.2,1.16
TRAIN_00063,10,23,저녁,8.02,282.19,5.28,82.8,987.54,10.75,8.9,1.85,5.63,1219.32,32.92,1.74
TRAIN_00064,5,23,새벽,14.55,289.19,11.9,84.1,982.21,16.59,13.95,2.64,8.88,1182.88,178.8,1.59
TRAIN_00065,4,29,저녁,11.47,285.4,0.0,45.03,990.6,13.56,6.11,7.45,3.84,1209.58,223.3,1.92
TRAIN_00066,1,19,저녁,-7.58,266.48,-9.8,84.0,988.3,3.45,2.9,0.55,1.83,1294.91,196.0,1.84
TRAIN_00067,8,31,오후,27.24,301.08,5.97,25.79,992.11,36.21,9.34,26.87,5.88,1146.41,177.1,1.85
TRAIN_00068,9,30,새벽,16.6,290.81,11.07,69.77,987.39,18.92,13.2,5.72,8.36,1181.08,222.5,0.9
TRAIN_00069,2,27,새벽,-3.76,270.66,-5.31,88.9,983.72,4.62,4.11,0.51,2.6,1270.05,159.8,0.44
TRAIN_00070,9,4,오후,17.2,291.5,14.73,85.4,986.42,19.65,16.78,2.87,10.65,1175.85,194.5,4.24
TRAIN_00071,12,29,오전,2.71,274.72,1.36,90.8,1014.67,7.42,6.74,0.68,4.14,1278.09,244.5,0.86
TRAIN_00072,5,1,오전,8.67,282.29,4.43,74.6,994.26,11.24,8.38,2.85,5.26,1225.06,38.33,4.15
TRAIN_00073,6,25,오전,23.59,297.99,18.18,71.7,985.56,29.16,20.91,8.25,13.3,1147.69,261.7,1.66
TRAIN_00074,6,13,저녁,16.61,291.95,12.35,75.9,974.08,18.93,14.37,4.56,9.23,1164.5,345.9,1.66
TRAIN_00075,6,7,저녁,19.33,292.96,11.59,60.84,994.35,22.47,13.67,8.8,8.59,1178.13,14.47,0.14
TRAIN_00076,11,28,오전,-0.33,272.82,-4.07,75.7,1000.19,5.96,4.51,1.45,2.81,1274.9,344.6,1.08
TRAIN_00077,6,14,새벽,11.93,287.19,11.56,97.6,974.63,13.98,13.64,0.34,8.75,1184.63,201.2,0.8
TRAIN_00078,10,3,오전,10.44,284.14,8.39,87.1,993.4,12.66,11.03,1.63,6.93,1215.12,257.8,2.77
TRAIN_00079,12,18,저녁,3.29,276.09,2.49,94.5,1004.55,7.74,7.31,0.43,4.54,1262.38,52.48,0.71
TRAIN_00080,1,14,저녁,1.59,276.44,-1.37,80.6,978.78,6.85,5.53,1.33,3.52,1238.35,181.0,1.67
TRAIN_00081,4,24,저녁,2.07,276.51,-1.97,74.5,983.84,7.09,5.28,1.81,3.35,1242.73,255.2,2.73
TRAIN_00082,11,11,오후,0.96,274.84,-0.18,92.0,990.95,6.55,6.03,0.52,3.79,1256.43,30.74,5.09
TRAIN_00083,7,23,새벽,17.28,291.26,15.24,87.8,990.2,19.75,17.34,2.41,10.97,1179.8,7.02,0.2
TRAIN_00084,11,25,새벽,4.08,277.52,3.74,97.6,996.51,8.18,7.99,0.2,5.0,1248.34,62.74,2.2
TRAIN_00085,10,17,새벽,6.11,279.49,5.86,98.3,997.2,9.43,9.27,0.16,5.8,1239.53,154.6,0.88
TRAIN_00086,5,7,새벽,14.93,288.99,5.77,54.18,989.16,17.0,9.21,7.79,5.81,1191.89,215.7,0.92
TRAIN_00087,10,13,오전,6.78,280.49,5.55,91.8,993.19,9.88,9.07,0.81,5.7,1231.65,49.28,3.71
TRAIN_00088,7,20,저녁,25.4,299.6,13.8,48.62,987.93,32.49,15.8,16.69,10.01,1145.75,219.9,0.87
TRAIN_00089,11,7,새벽,1.61,276.65,0.03,89.2,976.37,6.86,6.12,0.74,3.91,1234.96,199.4,1.07
TRAIN_00090,9,8,새벽,15.73,289.67,14.25,90.9,990.63,17.9,16.27,1.63,10.28,1187.14,43.92,0.75
TRAIN_00091,4,27,오전,3.18,278.25,-1.66,70.4,976.15,7.68,5.41,2.27,3.45,1227.98,214.0,7.11
TRAIN_00092,3,2,오후,5.37,280.78,2.59,82.2,972.33,8.96,7.36,1.59,4.72,1212.61,262.9,1.29
TRAIN_00093,9,8,새벽,13.46,287.5,12.77,95.6,989.35,15.46,14.78,0.68,9.34,1195.68,76.1,0.4
TRAIN_00094,11,27,새벽,-0.64,273.34,-0.76,99.1,989.59,5.83,5.78,0.05,3.64,1262.17,222.4,1.53
TRAIN_00095,9,1,오후,23.88,297.49,12.02,47.38,994.75,29.67,14.06,15.61,8.84,1160.38,169.5,2.24
TRAIN_00096,3,11,오후,2.91,276.02,1.58,90.9,1000.64,7.53,6.85,0.69,4.27,1259.38,26.31,3.35
TRAIN_00097,11,12,새벽,-0.97,272.29,-2.07,92.2,998.76,5.69,5.25,0.44,3.27,1275.7,31.91,2.7
TRAIN_00098,1,18,저녁,-5.85,267.87,-9.21,77.0,992.64,3.94,3.04,0.91,1.9,1292.14,26.26,0.63
TRAIN_00099,8,21,저녁,15.25,288.82,10.47,73.1,995.1,17.36,12.69,4.67,7.97,1196.15,255.7,1.15
TRAIN_00100,5,17,오전,7.81,281.7,3.04,71.7,990.91,10.6,7.6,3.0,4.78,1225.02,224.2,1.28
TRAIN_00101,2,28,저녁,2.25,276.02,-1.44,76.5,992.31,7.19,5.5,1.69,3.45,1252.53,15.77,2.39
TRAIN_00102,9,23,오후,20.85,294.22,7.92,43.27,997.45,24.68,10.68,14.0,6.69,1177.06,331.5,1.79
TRAIN_00103,1,3,오후,-0.49,274.09,-4.3,75.3,982.01,5.89,4.44,1.46,2.82,1252.45,150.2,2.87
TRAIN_00104,9,14,새벽,15.62,289.71,13.24,85.7,988.85,17.77,15.23,2.54,9.64,1185.92,262.6,0.61
TRAIN_00105,9,11,저녁,23.35,297.19,15.7,62.15,992.04,28.74,17.86,10.88,11.28,1157.58,94.0,0.35
TRAIN_00106,6,28,새벽,15.0,288.81,13.19,88.9,992.19,17.08,15.18,1.9,9.57,1192.53,213.5,1.58
TRAIN_00107,2,3,새벽,3.51,277.67,0.72,81.9,987.46,7.86,6.44,1.42,4.06,1240.28,227.7,2.59
TRAIN_00108,8,7,오후,25.14,298.39,7.72,32.94,998.98,31.99,10.54,21.45,6.59,1161.98,242.5,3.36
TRAIN_00109,8,18,저녁,20.31,294.92,5.57,38.04,982.97,23.87,9.08,14.79,5.77,1162.75,252.2,0.68
TRAIN_00110,8,15,오전,16.73,290.09,11.81,72.7,997.55,19.08,13.87,5.21,8.69,1192.46,54.72,2.01
TRAIN_00111,1,23,저녁,3.89,276.52,1.77,86.0,1006.68,8.07,6.94,1.13,4.3,1262.5,244.2,2.08
TRAIN_00112,8,17,오전,10.52,284.49,8.45,87.0,990.04,12.73,11.07,1.65,6.99,1210.63,38.75,2.33
TRAIN_00113,5,22,저녁,28.96,303.83,9.06,28.83,980.48,40.02,11.54,28.48,7.35,1125.52,97.9,0.44
TRAIN_00114,1,8,새벽,5.0,280.4,0.73,73.8,972.32,8.73,6.44,2.29,4.13,1214.66,223.1,2.71
TRAIN_00115,6,2,오후,19.91,294.42,14.63,71.6,984.02,23.29,16.68,6.61,10.61,1162.17,231.6,0.68
TRAIN_00116,2,3,새벽,3.7,277.82,1.49,85.4,987.92,7.97,6.8,1.16,4.29,1239.82,244.0,1.28
TRAIN_00117,2,27,오후,3.31,277.8,-4.01,58.49,983.46,7.75,4.53,3.22,2.87,1237.01,54.43,3.44
TRAIN_00118,5,15,저녁,5.77,279.64,1.76,75.3,991.21,9.21,6.94,2.28,4.36,1234.66,265.1,2.37
TRAIN_00119,2,20,저녁,4.8,279.28,2.29,83.7,983.6,8.61,7.21,1.4,4.57,1229.3,206.3,5.98
TRAIN_00120,8,27,저녁,27.94,301.93,13.8,41.89,990.37,37.72,15.8,21.92,9.98,1138.91,353.7,0.93
TRAIN_00121,12,21,새벽,-3.17,270.14,-5.24,85.5,998.11,4.83,4.13,0.7,2.58,1285.81,204.5,1.17
TRAIN_00122,9,25,새벽,10.42,283.85,9.53,94.2,996.73,12.64,11.91,0.73,7.47,1218.88,15.85,0.28
TRAIN_00123,7,31,저녁,15.4,289.42,12.7,83.9,989.6,17.52,14.7,2.82,9.29,1187.97,256.1,2.58
TRAIN_00124,6,19,새벽,10.67,284.39,9.84,94.6,993.16,12.86,12.16,0.69,7.65,1213.32,195.9,0.88
TRAIN_00125,2,15,오전,4.34,278.86,1.48,81.6,983.0,8.33,6.8,1.53,4.31,1230.79,3.23,1.05
TRAIN_00126,4,10,오전,5.03,279.26,0.78,73.9,986.55,8.74,6.46,2.28,4.08,1232.36,157.8,0.64
TRAIN_00127,4,19,저녁,9.53,282.91,1.92,58.9,997.23,11.91,7.02,4.9,4.39,1225.63,259.6,2.23
TRAIN_00128,10,16,새벽,10.55,284.18,9.42,92.7,994.28,12.75,11.82,0.93,7.43,1215.36,208.9,0.72
TRAIN_00129,3,27,오전,12.33,286.88,1.9,48.81,983.17,14.35,7.01,7.35,4.44,1196.45,192.8,3.69
TRAIN_00130,8,26,오전,17.94,291.79,11.46,65.8,991.75,20.59,13.55,7.04,8.54,1180.7,193.0,1.81
TRAIN_00131,11,19,새벽,5.6,280.17,3.03,83.5,982.5,9.1,7.6,1.5,4.82,1224.24,174.4,1.59
TRAIN_00132,7,8,새벽,15.86,289.58,8.7,62.4,993.27,18.05,11.26,6.79,7.08,1192.07,254.0,0.27
TRAIN_00133,11,20,오전,5.7,280.48,0.66,69.93,979.93,9.17,6.41,2.76,4.08,1221.13,163.5,3.16
TRAIN_00134,11,22,저녁,7.6,281.68,5.93,89.1,988.64,10.45,9.31,1.14,5.88,1222.32,208.2,1.64
TRAIN_00135,1,18,새벽,-4.23,269.19,-6.37,84.9,996.73,4.46,3.79,0.67,2.37,1289.25,273.1,1.34
TRAIN_00136,5,22,오후,26.99,301.62,8.69,31.53,983.1,35.69,11.25,24.43,7.15,1136.07,214.2,2.58
TRAIN_00137,6,18,오후,18.22,292.3,12.03,67.15,989.08,20.96,14.07,6.89,8.9,1176.14,204.0,4.31
TRAIN_00138,2,9,새벽,7.01,282.29,0.35,62.45,973.98,10.03,6.27,3.77,4.01,1208.09,216.1,7.75
TRAIN_00139,10,17,새벽,5.52,278.93,5.33,98.7,996.92,9.05,8.93,0.12,5.59,1241.96,233.7,0.25
TRAIN_00140,10,30,새벽,8.26,281.13,5.45,82.4,1003.59,10.93,9.01,1.92,5.6,1238.1,258.6,2.31
TRAIN_00141,7,16,새벽,11.42,284.65,8.36,81.4,999.13,13.52,11.0,2.51,6.88,1217.97,206.1,1.06
TRAIN_00142,1,21,새벽,-2.86,270.63,-4.23,90.2,995.7,4.94,4.46,0.48,2.79,1281.09,350.8,0.54
TRAIN_00143,2,13,오전,1.44,277.14,-2.24,76.4,968.35,6.78,5.18,1.6,3.33,1225.97,167.2,1.84
TRAIN_00144,10,7,새벽,7.63,281.43,7.03,96.0,992.07,10.47,10.05,0.42,6.33,1226.09,25.48,2.91
TRAIN_00145,10,19,오후,9.95,284.21,5.51,73.8,986.52,12.25,9.04,3.21,5.72,1209.68,194.9,3.49
TRAIN_00146,8,1,오전,19.85,293.63,8.25,47.06,992.61,23.2,10.92,12.28,6.87,1175.21,294.7,2.43
TRAIN_00147,8,7,오후,24.12,297.33,6.58,32.36,999.44,30.1,9.74,20.36,6.08,1166.86,211.1,3.78
TRAIN_00148,1,13,새벽,3.03,278.26,0.13,81.2,974.12,7.59,6.17,1.43,3.95,1225.75,212.9,2.58
TRAIN_00149,3,21,오전,6.47,280.48,2.8,77.3,989.44,9.67,7.48,2.2,4.71,1229.1,267.2,2.76
TRAIN_00150,10,31,저녁,6.03,279.17,5.29,95.0,1000.23,9.38,8.91,0.47,5.56,1243.84,221.1,0.82
TRAIN_00151,11,29,오전,-3.3,269.21,-5.76,83.0,1008.52,4.78,3.97,0.81,2.45,1299.96,173.7,0.93
TRAIN_00152,12,31,오전,-6.2,266.46,-8.77,81.9,1006.57,3.84,3.14,0.69,1.94,1311.94,244.6,0.37
TRAIN_00153,5,26,오후,19.44,293.46,9.04,50.96,989.85,22.62,11.53,11.09,7.28,1173.3,32.0,3.54
TRAIN_00154,6,11,오전,14.35,288.73,9.38,72.0,985.31,16.38,11.79,4.59,7.48,1188.45,64.44,0.71
TRAIN_00155,4,8,저녁,11.32,285.85,-0.82,42.83,983.3,13.43,5.75,7.68,3.65,1201.44,25.02,3.18
TRAIN_00156,8,4,오전,20.91,295.26,16.87,77.7,985.95,24.77,19.25,5.52,12.23,1159.35,186.5,2.14
TRAIN_00157,5,24,새벽,12.5,287.07,11.59,94.2,982.96,14.51,13.67,0.84,8.7,1192.41,250.7,3.66
TRAIN_00158,2,11,저녁,1.73,276.59,-1.5,79.0,978.68,6.92,5.47,1.45,3.48,1237.64,232.4,3.01
TRAIN_00159,9,8,새벽,15.54,289.48,14.21,91.8,990.57,17.68,16.23,1.45,10.26,1187.87,42.75,0.46
TRAIN_00160,2,27,오전,-3.1,271.33,-5.21,85.3,983.68,4.86,4.14,0.71,2.62,1266.88,3.86,1.63
TRAIN_00161,7,4,오전,11.73,285.2,10.99,95.2,996.23,13.8,13.13,0.66,8.24,1212.11,176.5,0.99
TRAIN_00162,12,22,오후,3.17,276.15,-0.89,74.6,1002.3,7.67,5.72,1.95,3.56,1260.84,167.7,3.98
TRAIN_00163,1,17,오후,-1.85,271.67,-4.47,82.2,995.31,5.33,4.38,0.95,2.74,1275.85,276.2,0.89
TRAIN_00164,9,27,오후,19.0,292.2,13.18,68.96,999.55,22.01,15.18,6.83,9.5,1184.98,238.2,1.22
TRAIN_00165,12,24,오전,4.41,277.74,2.43,86.9,997.78,8.37,7.28,1.1,4.55,1248.81,215.1,3.79
TRAIN_00166,3,15,오후,3.66,276.96,1.51,85.8,998.22,7.94,6.81,1.13,4.26,1252.98,41.51,2.89
TRAIN_00167,3,5,새벽,3.67,279.31,-1.06,71.1,969.3,7.95,5.65,2.3,3.63,1217.08,178.2,1.61
TRAIN_00168,8,4,오전,23.52,297.88,15.23,59.71,985.94,29.04,17.34,11.7,11.01,1149.99,212.3,3.52
TRAIN_00169,5,25,오후,15.15,289.28,10.96,76.0,988.38,17.24,13.11,4.14,8.29,1188.26,18.78,1.5
TRAIN_00170,8,24,오전,26.73,300.0,14.95,48.44,998.66,35.15,17.02,18.12,10.67,1152.6,136.1,1.91
TRAIN_00171,11,8,오후,3.76,278.47,0.47,79.0,980.69,8.0,6.32,1.68,4.02,1230.7,198.2,4.46
TRAIN_00172,12,16,저녁,-1.4,271.24,-3.58,85.0,1006.76,5.51,4.68,0.83,2.9,1288.27,225.0,1.15
TRAIN_00173,11,1,오후,13.34,287.33,6.17,61.77,989.96,15.34,9.47,5.86,5.97,1199.36,283.9,1.44
TRAIN_00174,1,13,새벽,2.85,278.07,0.39,83.8,974.32,7.5,6.29,1.22,4.02,1226.72,209.1,4.65
TRAIN_00175,8,6,새벽,16.07,289.62,11.34,73.5,995.26,18.29,13.44,4.85,8.45,1192.61,248.4,2.4
TRAIN_00176,11,10,오후,2.6,277.27,1.04,89.4,981.14,7.37,6.59,0.78,4.19,1236.29,276.3,0.42
TRAIN_00177,12,7,새벽,-7.7,264.91,-8.64,92.9,1007.31,3.42,3.17,0.24,1.96,1320.31,112.8,0.78
TRAIN_00178,12,30,오전,-4.21,268.08,-4.68,96.5,1011.37,4.47,4.31,0.16,2.65,1307.9,199.2,1.08
TRAIN_00179,11,25,오전,2.97,276.43,1.0,86.8,996.23,7.56,6.57,1.0,4.11,1253.69,56.12,2.91
TRAIN_00180,8,23,새벽,15.98,289.04,13.04,82.7,1001.16,18.19,15.04,3.15,9.4,1199.36,222.0,1.28
TRAIN_00181,11,5,새벽,5.0,279.65,3.23,88.3,981.48,8.73,7.71,1.02,4.9,1225.54,164.0,1.9
TRAIN_00182,5,15,저녁,7.43,281.42,1.74,67.09,989.72,10.33,6.93,3.4,4.37,1225.51,277.4,1.37
TRAIN_00183,8,11,오전,15.73,289.18,4.05,45.63,996.55,17.9,8.17,9.73,5.11,1197.98,265.8,2.57
TRAIN_00184,5,9,저녁,20.43,294.52,6.52,40.33,988.95,24.05,9.7,14.35,6.12,1169.09,64.36,2.78
TRAIN_00185,6,10,오전,18.71,293.03,7.78,48.93,986.23,21.61,10.58,11.04,6.7,1172.34,208.7,1.54
TRAIN_00186,5,16,새벽,5.67,279.55,2.18,78.2,991.06,9.15,7.15,1.99,4.5,1234.82,255.6,2.52
TRAIN_00187,10,6,새벽,6.84,280.25,5.63,92.0,996.83,9.91,9.12,0.79,5.71,1235.93,204.3,1.79
TRAIN_00188,3,30,오후,10.01,284.42,5.45,73.2,984.66,12.3,9.01,3.3,5.71,1207.16,210.0,3.1
TRAIN_00189,2,12,저녁,0.11,275.53,-2.69,81.3,971.63,6.16,5.01,1.15,3.21,1236.2,29.19,0.21
TRAIN_00190,6,3,오전,15.94,290.36,15.12,94.9,984.89,18.14,17.22,0.93,10.94,1178.93,36.4,1.48
TRAIN_00191,1,13,저녁,3.47,277.68,-0.53,75.0,986.8,7.84,5.88,1.96,3.71,1239.9,320.1,1.47
TRAIN_00192,12,10,오전,2.98,276.36,2.33,95.5,997.24,7.57,7.23,0.34,4.52,1254.61,161.7,1.38
TRAIN_00193,12,1,오전,5.1,278.61,1.71,78.6,995.7,8.79,6.91,1.88,4.33,1243.25,258.4,1.95
TRAIN_00194,4,22,새벽,3.68,277.39,1.19,83.7,993.06,7.95,6.66,1.3,4.18,1246.45,221.2,0.43
TRAIN_00195,1,26,오후,11.88,285.4,7.81,76.1,995.66,13.93,10.6,3.33,6.65,1211.94,200.4,3.09
TRAIN_00196,8,20,오후,25.19,299.53,13.16,47.22,986.28,32.09,15.15,16.94,9.61,1144.92,205.6,5.17
TRAIN_00197,10,15,오후,14.27,288.29,9.81,74.5,989.66,16.29,12.14,4.15,7.66,1193.89,214.5,1.38
TRAIN_00198,9,29,저녁,17.24,291.44,11.14,67.33,987.56,19.7,13.27,6.44,8.4,1178.65,210.2,2.71
TRAIN_00199,7,28,새벽,19.08,293.07,12.95,67.6,990.17,22.12,14.95,7.17,9.45,1173.58,242.5,2.6
TRAIN_00200,11,22,오전,10.1,284.53,5.79,74.5,984.51,12.38,9.22,3.16,5.85,1206.49,177.8,0.62
TRAIN_00201,1,23,저녁,4.05,276.68,1.94,86.1,1006.69,8.16,7.03,1.13,4.35,1261.75,255.4,3.05
TRAIN_00202,1,1,오후,1.84,275.07,0.81,92.9,999.07,6.98,6.48,0.5,4.04,1262.5,175.7,0.58
TRAIN_00203,1,6,오후,-4.65,270.38,-5.83,91.4,976.0,4.32,3.95,0.37,2.52,1264.31,18.9,3.06
TRAIN_00204,4,9,오후,12.16,286.79,0.18,43.6,982.22,14.19,6.19,8.0,3.93,1196.38,40.34,2.89
TRAIN_00205,4,1,새벽,1.25,275.41,0.65,95.8,987.3,6.69,6.4,0.28,4.05,1250.31,27.33,2.64
TRAIN_00206,2,26,저녁,-0.07,274.23,-3.79,75.9,985.58,6.08,4.61,1.46,2.92,1255.01,126.6,0.28
